time,x,y,yaw,v_actual,v_cmd,e_y,e_psi,control_e_y,control_e_psi,filtered_e_y,filtered_e_psi,curvature_ref,curvature_preview,delta_raw,delta_rate_limited,delta_feedback,delta_feedforward,delta_cmd,lqr_k_y,lqr_k_psi,closest_idx,segment_idx,segment_t,compute_time_ms
1779541152.777926,0.092886,0.233265,0.028795,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.422717,1.554405,0,1380,1.000000,3.517485
1779541152.781909,0.092886,0.233265,0.028795,0.000000,0.003983,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462499,1.580908,0,1380,1.000000,2.721686
1779541152.785907,0.092886,0.233265,0.028795,0.000000,0.007981,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462486,1.580900,0,1380,1.000000,2.455212
1779541152.789815,0.092886,0.233265,0.028795,0.000000,0.011889,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462564,1.580952,0,1380,1.000000,2.664347
1779541152.793941,0.092886,0.233265,0.028795,0.000000,0.016015,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462373,1.580825,0,1380,1.000000,2.707339
1779541152.798157,0.092886,0.233265,0.028795,0.000000,0.020231,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462295,1.580773,0,1380,1.000000,2.494275
1779541152.801868,0.092886,0.233265,0.028795,0.000000,0.023942,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462738,1.581067,0,1380,1.000000,2.310840
1779541152.805889,0.092886,0.233265,0.028795,0.000000,0.027963,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462466,1.580886,0,1380,1.000000,2.370193
1779541152.809912,0.092886,0.233265,0.028795,0.000000,0.031986,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462464,1.580885,0,1380,1.000000,4.771076
1779541152.813881,0.092886,0.233265,0.028795,0.000000,0.035955,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462511,1.580916,0,1380,1.000000,2.957788
