time,ego_collision,done,x,y,theta,requested_speed,steering_angle
1779541302.309011,0,1,-0.211826,0.215266,0.037222,1.500000,-0.005569
1779541302.319122,0,1,-0.196832,0.215717,0.036421,1.500000,-0.005569
1779541302.329020,0,1,-0.181839,0.216172,0.035795,1.500000,-0.005569
1779541302.339452,0,1,-0.166845,0.216602,0.034994,1.500000,-0.003943
1779541302.349189,0,1,-0.151852,0.217036,0.034369,1.500000,-0.003943
1779541302.358969,0,1,-0.136857,0.217445,0.033567,1.500000,-0.002830
1779541302.368975,0,1,-0.121863,0.217856,0.032942,1.500000,-0.002830
1779541302.379456,0,1,-0.106868,0.218244,0.032141,1.500000,-0.002462
1779541302.388930,0,1,-0.091873,0.218634,0.031515,1.500000,-0.002462
1779541302.399143,0,1,-0.076877,0.219001,0.030714,1.500000,-0.002069
1779541302.409461,0,1,-0.061882,0.219370,0.030089,1.500000,-0.002069
1779541302.419432,0,1,-0.046886,0.219715,0.029288,1.500000,-0.001716
1779541302.428610,0,1,-0.031890,0.220062,0.028662,1.500000,-0.001716
1779541302.439284,0,1,-0.016894,0.220386,0.027861,1.500000,-0.001343
1779541302.448917,0,1,-0.001897,0.220712,0.027236,1.500000,-0.001343
1779541302.459476,0,1,0.013100,0.221014,0.026435,1.500000,-0.000961
1779541302.468934,0,1,0.028097,0.221319,0.025809,1.500000,-0.000961
1779541302.479147,0,1,0.043094,0.221599,0.025008,1.500000,-0.000567
1779541302.488994,0,1,0.058091,0.221883,0.024383,1.500000,-0.000567
1779541302.499365,0,1,0.073089,0.222142,0.023581,1.500000,-0.000236
1779541302.509192,0,1,0.088087,0.222404,0.022956,1.500000,-0.000236
1779541302.519213,0,1,0.103085,0.222642,0.022155,1.500000,0.000123
1779541302.529052,0,1,0.118083,0.222883,0.021529,1.500000,0.000123
1779541302.538741,0,1,0.133082,0.223099,0.020728,1.500000,0.000416
1779541302.549021,0,1,0.148080,0.223343,0.020380,1.500000,0.000416
1779541302.559223,0,1,0.163076,0.223652,0.020694,1.500000,0.000878
1779541302.568974,0,1,0.178073,0.223984,0.021072,1.500000,0.000878
1779541302.578681,0,1,0.193068,0.224360,0.021743,1.500000,0.001265
1779541302.588780,0,1,0.208063,0.224745,0.022299,1.500000,0.001265
1779541302.598932,0,1,0.223057,0.225164,0.023062,1.500000,0.001631
1779541302.609047,0,1,0.238051,0.225586,0.023665,1.500000,0.001631
1779541302.619250,0,1,0.253044,0.226037,0.024452,1.500000,0.000540
1779541302.629051,0,1,0.268038,0.226488,0.025070,1.500000,0.000540
1779541302.638940,0,1,0.283030,0.226965,0.025865,1.500000,-0.001199
1779541302.648657,0,1,0.298022,0.227441,0.026487,1.500000,-0.001199
1779541302.659185,0,1,0.313014,0.227942,0.027286,1.500000,-0.002940
1779541302.669076,0,1,0.328007,0.228417,0.027633,1.500000,-0.002940
1779541302.679173,0,1,0.343001,0.228827,0.027318,1.500000,-0.004765
1779541302.688865,0,1,0.357996,0.229214,0.026939,1.500000,-0.004765
1779541302.699172,0,1,0.372992,0.229558,0.026267,1.500000,-0.006763
1779541302.708956,0,1,0.387988,0.229892,0.025711,1.500000,-0.006763
1779541302.719491,0,1,0.402985,0.230193,0.024948,1.500000,-0.008433
1779541302.729021,0,1,0.417982,0.230491,0.024345,1.500000,-0.008433
1779541302.739136,0,1,0.432980,0.230760,0.023557,1.500000,-0.008433
1779541302.749552,0,1,0.447977,0.231029,0.022940,1.500000,-0.008433
1779541302.759332,0,1,0.462976,0.231271,0.022144,1.500000,-0.008433
1779541302.768664,0,1,0.477974,0.231516,0.021522,1.500000,-0.008433
1779541302.779460,0,1,0.492972,0.231734,0.020723,1.500000,-0.008433
1779541302.789225,0,1,0.507970,0.231955,0.020099,1.500000,-0.008433
1779541302.799347,0,1,0.522969,0.232152,0.019299,1.500000,-0.008433
1779541302.808827,0,1,0.537968,0.232350,0.018675,1.500000,-0.008433
1779541302.819102,0,1,0.552967,0.232524,0.017874,1.500000,-0.008433
1779541302.829077,0,1,0.567966,0.232701,0.017249,1.500000,-0.008433
1779541302.839280,0,1,0.582965,0.232854,0.016448,1.500000,-0.008433
1779541302.848924,0,1,0.597964,0.233009,0.015823,1.500000,-0.008433
1779541302.859361,0,1,0.612963,0.233140,0.015022,1.500000,-0.008433
1779541302.868693,0,1,0.627963,0.233274,0.014396,1.500000,-0.008433
1779541302.878730,0,1,0.642962,0.233383,0.013595,1.500000,-0.008433
1779541302.889048,0,1,0.657962,0.233496,0.012970,1.500000,-0.007355
1779541302.899454,0,1,0.672962,0.233584,0.012169,1.500000,-0.007355
1779541302.908952,0,1,0.687961,0.233675,0.011543,1.500000,-0.007355
1779541302.919354,0,1,0.702961,0.233742,0.010742,1.500000,-0.005858
1779541302.929154,0,1,0.717961,0.233811,0.010117,1.500000,-0.005858
1779541302.939007,0,1,0.732961,0.233856,0.009316,1.500000,-0.005858
1779541302.948693,0,1,0.747961,0.233904,0.008690,1.500000,-0.005186
1779541302.959216,0,1,0.762961,0.233928,0.007889,1.500000,-0.005186
1779541302.969235,0,1,0.777961,0.233955,0.007264,1.500000,-0.005186
1779541302.978722,0,1,0.792961,0.233958,0.006463,1.500000,-0.004595
1779541302.989026,0,1,0.807961,0.233963,0.005837,1.500000,-0.004595
1779541302.999100,0,1,0.822961,0.233944,0.005036,1.500000,-0.004595
1779541303.008993,0,1,0.837961,0.233928,0.004411,1.500000,-0.003802
1779541303.018893,0,1,0.852961,0.233887,0.003609,1.500000,-0.003802
1779541303.028609,0,1,0.867961,0.233850,0.002984,1.500000,-0.003802
1779541303.039065,0,1,0.882961,0.233788,0.002183,1.500000,-0.003151
