time,x,y,yaw,v_actual,v_cmd,e_y,e_psi,control_e_y,control_e_psi,filtered_e_y,filtered_e_psi,curvature_ref,curvature_preview,delta_raw,delta_rate_limited,delta_feedback,delta_feedforward,delta_cmd,lqr_k_y,lqr_k_psi,closest_idx,segment_idx,segment_t,compute_time_ms
1779540128.025447,0.081061,0.221979,0.032977,0.000000,0.000000,-0.010923,0.003748,-0.010923,0.003748,-0.010923,0.003748,-0.036103,0.036273,-0.002206,0,0.009715,-0.011921,-0.002206,1.422717,1.554405,0,1380,0.849604,2.875764
1779540128.029579,0.081061,0.221979,0.032977,0.000000,0.004132,-0.010923,0.003748,-0.010923,0.003748,-0.010923,0.003748,-0.036103,0.036273,-0.001872,0,0.010049,-0.011921,-0.001872,1.462368,1.580821,0,1380,0.849604,2.000971
1779540128.033425,0.081061,0.221979,0.032977,0.000000,0.007977,-0.010923,0.003748,-0.010923,0.003748,-0.010923,0.003748,-0.036103,0.036273,-0.001870,0,0.010051,-0.011921,-0.001870,1.462620,1.580988,0,1380,0.849604,1.907276
1779540128.037471,0.081061,0.221979,0.032977,0.000000,0.012023,-0.010923,0.003748,-0.010923,0.003748,-0.010923,0.003748,-0.036103,0.036273,-0.001871,0,0.010049,-0.011921,-0.001871,1.462444,1.580871,0,1380,0.849604,1.869495
1779540128.041430,0.081061,0.221979,0.032977,0.000000,0.015983,-0.010923,0.003748,-0.010923,0.003748,-0.010923,0.003748,-0.036103,0.036273,-0.001871,0,0.010050,-0.011921,-0.001871,1.462520,1.580922,0,1380,0.849604,1.896661
1779540128.045468,0.081061,0.221979,0.032977,0.000000,0.020021,-0.010923,0.003748,-0.010923,0.003748,-0.010923,0.003748,-0.036103,0.036273,-0.001871,0,0.010049,-0.011921,-0.001871,1.462451,1.580876,0,1380,0.849604,1.967560
1779540128.049541,0.081061,0.221979,0.032977,0.000000,0.024093,-0.010923,0.003748,-0.010923,0.003748,-0.010923,0.003748,-0.036103,0.036273,-0.001871,0,0.010049,-0.011921,-0.001871,1.462421,1.580856,0,1380,0.849604,2.044175
1779540128.053410,0.081061,0.221979,0.032977,0.000000,0.027962,-0.010923,0.003748,-0.010923,0.003748,-0.010923,0.003748,-0.036103,0.036273,-0.001870,0,0.010051,-0.011921,-0.001870,1.462599,1.580974,0,1380,0.849604,2.423117
1779540128.057484,0.081061,0.221979,0.032977,0.000000,0.032036,-0.010923,0.003748,-0.010923,0.003748,-0.010923,0.003748,-0.036103,0.036273,-0.001872,0,0.010049,-0.011921,-0.001872,1.462419,1.580855,0,1380,0.849604,2.295101
1779540128.061435,0.081061,0.221979,0.032977,0.000000,0.035988,-0.010923,0.003748,-0.010923,0.003748,-0.010923,0.003748,-0.036103,0.036273,-0.001871,0,0.010050,-0.011921,-0.001871,1.462526,1.580926,0,1380,0.849604,2.208749
1779540128.065443,0.081061,0.221979,0.032977,0.000000,0.039996,-0.010923,0.003748,-0.010923,0.003748,-0.010923,0.003748,-0.036103,0.036273,-0.001871,0,0.010050,-0.011921,-0.001871,1.462477,1.580894,0,1380,0.849604,2.057305
1779540128.072009,0.081061,0.221979,0.032977,0.000000,0.046562,-0.010923,0.003748,-0.010923,0.003748,-0.010923,0.003748,-0.036103,0.036273,-0.001890,0,0.010031,-0.011921,-0.001890,1.460237,1.579407,0,1380,0.849604,2.494356
1779540128.073874,0.081061,0.221979,0.032977,0.000000,0.048427,-0.010923,0.003748,-0.010923,0.003748,-0.010923,0.003748,-0.036103,0.036273,-0.001855,0,0.010065,-0.011921,-0.001855,1.464357,1.582140,0,1380,0.849604,2.271847
1779540128.077442,0.081061,0.221979,0.032977,0.000000,0.051995,-0.010923,0.003748,-0.010923,0.003748,-0.010923,0.003748,-0.036103,0.036273,-0.001868,0,0.010053,-0.011921,-0.001868,1.462863,1.581150,0,1380,0.849604,2.116471
1779540128.081503,0.081062,0.221979,0.032977,0.000152,0.056056,-0.010923,0.003748,-0.010923,0.003748,-0.010923,0.003748,-0.036103,0.036273,-0.001871,0,0.010049,-0.011921,-0.001871,1.462430,1.580863,0,1380,0.849614,2.758342
1779540128.086674,0.081062,0.221979,0.032977,0.000152,0.061227,-0.010923,0.003748,-0.010923,0.003748,-0.010923,0.003748,-0.036103,0.036273,-0.001880,0,0.010041,-0.011921,-0.001880,1.461458,1.580218,0,1380,0.849614,4.349092
