left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y,Lapdist
-0.0062216,-0.5141905,-0.8892237,0.8121785,-0.4477227,0.1489940,1.9402170
0.0093277,-0.5149764,-0.8414614,0.8124878,-0.4160669,0.1487557,1.9718737
0.0248647,-0.5159768,-0.7936995,0.8128481,-0.3844174,0.1484357,2.0035248
0.0403875,-0.5171775,-0.7459385,0.8133097,-0.3527755,0.1480661,2.0351688
0.0558948,-0.5185654,-0.6981792,0.8139229,-0.3211422,0.1476788,2.0668045
0.0713854,-0.5201276,-0.6504229,0.8147375,-0.2895188,0.1473050,2.0984302
0.0868588,-0.5218523,-0.6026716,0.8158036,-0.2579064,0.1469757,2.1300442
0.1023146,-0.5237282,-0.5549280,0.8171710,-0.2263067,0.1467214,2.1616450
0.1177528,-0.5257444,-0.5071958,0.8188895,-0.1947215,0.1465726,2.1932305
0.1331735,-0.5278907,-0.4594798,0.8210085,-0.1631531,0.1465589,2.2247989
0.1485769,-0.5301576,-0.4117859,0.8235778,-0.1316045,0.1467101,2.2563479
0.1639636,-0.5325357,-0.3641215,0.8266463,-0.1000790,0.1470553,2.2878753
0.1793341,-0.5350163,-0.3164957,0.8302630,-0.0685808,0.1476234,2.3193786
0.1946892,-0.5375910,-0.2689190,0.8344763,-0.0371149,0.1484427,2.3508551
0.2100289,-0.5402561,-0.2214038,0.8393339,-0.0056875,0.1495389,2.3823017
0.2253541,-0.5430027,-0.1739644,0.8448826,0.0256949,0.1509399,2.4137153
0.2406668,-0.5458188,-0.1266170,0.8511679,0.0570249,0.1526745,2.4450933
0.2559678,-0.5486970,-0.0793787,0.8582269,0.0882946,0.1547649,2.4764328
0.2712584,-0.5516305,-0.0322566,0.8660251,0.1195009,0.1571973,2.5077337
0.2865396,-0.5546125,0.0147594,0.8744402,0.1506495,0.1599138,2.5390006
0.3018126,-0.5576365,0.0616850,0.8833457,0.1817488,0.1628546,2.5702386
0.3170784,-0.5606960,0.1085397,0.8926173,0.2128091,0.1659607,2.6014538
0.3323384,-0.5637847,0.1553457,0.9021322,0.2438421,0.1691738,2.6326527
0.3475938,-0.5668964,0.2021267,0.9117691,0.2748602,0.1724363,2.6638420
0.3628454,-0.5700260,0.2489075,0.9214069,0.3058765,0.1756905,2.6950284
0.3780951,-0.5731652,0.2957132,0.9309230,0.3369042,0.1788789,2.7262195
0.3933442,-0.5763074,0.3425681,0.9401938,0.3679562,0.1819432,2.7574224
0.4085940,-0.5794464,0.3894942,0.9490972,0.3990441,0.1848254,2.7886436
0.4238456,-0.5825761,0.4365109,0.9575084,0.4301783,0.1874661,2.8198896
0.4391004,-0.5856906,0.4836342,0.9653005,0.4613673,0.1898050,2.8511662
0.4543595,-0.5887834,0.5308750,0.9723443,0.4926172,0.1917804,2.8824785
0.4696243,-0.5918484,0.5782385,0.9785079,0.5239314,0.1933298,2.9138310
0.4848959,-0.5948791,0.6257228,0.9836577,0.5553094,0.1943893,2.9452268
0.5001758,-0.5978680,0.6733175,0.9876587,0.5867466,0.1948954,2.9766682
0.5154661,-0.6008031,0.7210025,0.9903762,0.6182343,0.1947865,3.0081560
0.5307671,-0.6036819,0.7687460,0.9917135,0.6497565,0.1940158,3.0396877
0.5460799,-0.6064971,0.8165084,0.9917474,0.6812941,0.1926251,3.0712559
0.5614055,-0.6092413,0.8642575,0.9906155,0.7128315,0.1906871,3.1028528
0.5767451,-0.6119065,0.9119715,0.9884589,0.7443583,0.1882762,3.1344716
0.5920995,-0.6144848,0.9596374,0.9854180,0.7758684,0.1854666,3.1661068
0.6074696,-0.6169674,1.0072500,0.9816315,0.8073598,0.1823320,3.1977537
0.6228563,-0.6193455,1.0548103,0.9772358,0.8388333,0.1789451,3.2294089
0.6382602,-0.6216096,1.1023244,0.9723652,0.8702923,0.1753778,3.2610695
0.6536817,-0.6237497,1.1498022,0.9671521,0.9017420,0.1717012,3.2927334
0.6691213,-0.6257555,1.1972564,0.9617272,0.9331889,0.1679859,3.3243990
0.6845790,-0.6276176,1.2447012,0.9562207,0.9646401,0.1643015,3.3560653
0.7000532,-0.6293362,1.2921516,0.9507626,0.9961024,0.1607132,3.3877316
0.7155421,-0.6309185,1.3396222,0.9454835,1.0275821,0.1572825,3.4193977
0.7310436,-0.6323713,1.3871262,0.9405156,1.0590849,0.1540722,3.4510637
0.7465559,-0.6337036,1.4346747,0.9359936,1.0906153,0.1511450,3.4827296
0.7620772,-0.6349269,1.4822748,0.9320547,1.1221760,0.1485639,3.5143957
0.7776061,-0.6360506,1.5299290,0.9288395,1.1537675,0.1463945,3.5460616
0.7931411,-0.6370848,1.5776331,0.9264836,1.1853871,0.1446994,3.5777266
0.8086812,-0.6380400,1.6253727,0.9250131,1.2170270,0.1434865,3.6093897
0.8242254,-0.6389270,1.6731307,0.9243568,1.2486781,0.1427149,3.6410502
0.8397727,-0.6397570,1.7208934,0.9244258,1.2803330,0.1423344,3.6727075
0.8553224,-0.6405418,1.7686511,0.9251282,1.3119867,0.1422932,3.7043612
0.8708737,-0.6412931,1.8163979,0.9263706,1.3436358,0.1425387,3.7360112
0.8864260,-0.6420233,1.8641312,0.9280582,1.3752786,0.1430174,3.7676576
0.9019787,-0.6427447,1.9118510,0.9300956,1.4069148,0.1436755,3.7993007
0.9175313,-0.6434700,1.9595592,0.9323873,1.4385452,0.1444587,3.8309408
0.9330830,-0.6442120,2.0072596,0.9348374,1.4701713,0.1453127,3.8625784
0.9486333,-0.6449845,2.0549567,0.9373505,1.5017950,0.1461830,3.8942141
0.9641814,-0.6458002,2.1026555,0.9398314,1.5334184,0.1470156,3.9258485
0.9797264,-0.6466724,2.1503607,0.9421854,1.5650436,0.1477565,3.9574822
0.9952673,-0.6476140,2.1980764,0.9443184,1.5966718,0.1483522,3.9891161
1.0108030,-0.6486382,2.2458051,0.9461350,1.6283040,0.1487484,4.0207508
1.0263321,-0.6497577,2.2935475,0.9475448,1.6599398,0.1488935,4.0523869
1.0418530,-0.6509855,2.3413020,0.9484580,1.6915775,0.1487362,4.0840250
1.0573639,-0.6523340,2.3890641,0.9487863,1.7232140,0.1482261,4.1156656
1.0728626,-0.6538155,2.4368261,0.9484438,1.7548444,0.1473141,4.1473091
1.0883467,-0.6554418,2.4845768,0.9473475,1.7864618,0.1459528,4.1789558
1.1038137,-0.6572245,2.5323008,0.9454111,1.8180572,0.1440933,4.2106060
1.1192603,-0.6591745,2.5799787,0.9425577,1.8496195,0.1416916,4.2422595
1.1346835,-0.6613024,2.6275872,0.9387184,1.8811353,0.1387080,4.2739162
1.1500795,-0.6636179,2.6750999,0.9338374,1.9125897,0.1351098,4.3055757
1.1654446,-0.6661302,2.7224927,0.9279062,1.9439687,0.1308880,4.3372374
1.1807748,-0.6688479,2.7697420,0.9209261,1.9752584,0.1260391,4.3689006
1.1960656,-0.6717785,2.8168236,0.9128946,2.0064446,0.1205581,4.4005648
1.2113126,-0.6749289,2.8637119,0.9038047,2.0375123,0.1144379,4.4322296
1.2265113,-0.6783050,2.9103798,0.8936450,2.0684455,0.1076700,4.4638946
1.2416568,-0.6819117,2.9567977,0.8824002,2.0992273,0.1002443,4.4955593
1.2567446,-0.6857532,3.0029336,0.8700509,2.1298391,0.0921489,4.5272235
1.2717698,-0.6898324,3.0487522,0.8565736,2.1602610,0.0833706,4.5588866
1.2867280,-0.6941515,3.0942147,0.8419408,2.1904713,0.0738946,4.5905482
1.3016145,-0.6987116,3.1392774,0.8261211,2.2204460,0.0637048,4.6222075
1.3164250,-0.7035133,3.1838919,0.8090795,2.2501585,0.0527831,4.6538637
1.3311485,-0.7085757,3.2280038,0.7907772,2.2795761,0.0411007,4.6855161
1.3457869,-0.7138784,3.2715517,0.7711719,2.3086693,0.0286468,4.7171629
1.3603380,-0.7194157,3.3144667,0.7502185,2.3374024,0.0154014,4.7488019
1.3747993,-0.7251832,3.3566709,0.7278692,2.3657351,0.0013430,4.7804307
1.3891678,-0.7311778,3.3980769,0.7040749,2.3936224,-0.0135515,4.8120463
1.4034402,-0.7373979,3.4385862,0.6787855,2.4210132,-0.0293062,4.8436448
1.4176125,-0.7438426,3.4780887,0.6519520,2.4478506,-0.0459453,4.8752218
1.4316804,-0.7505124,3.5164615,0.6235278,2.4740710,-0.0634923,4.9067719
1.4456387,-0.7574090,3.5535690,0.5934714,2.4996038,-0.0819688,4.9382887
1.4594816,-0.7645350,3.5892621,0.5617492,2.5243719,-0.1013929,4.9697649
1.4731876,-0.7719211,3.6233797,0.5283382,2.5482836,-0.1217914,5.0011953
1.4867592,-0.7795507,3.6557494,0.4932305,2.5712543,-0.1431601,5.0325684
1.5001903,-0.7874245,3.6861909,0.4564363,2.5931906,-0.1654941,5.0638735
1.5134707,-0.7955493,3.7145196,0.4179884,2.6139951,-0.1887805,5.0950998
1.5265889,-0.8039333,3.7404462,0.3778809,2.6335176,-0.2130262,5.1262283
1.5395315,-0.8125858,3.7638199,0.3362372,2.6516757,-0.2381743,5.1572467
1.5522828,-0.8215176,3.7845500,0.2932214,2.6684164,-0.2641481,5.1881480
1.5648251,-0.8307406,3.8025113,0.2489816,2.6836682,-0.2908795,5.2189244
1.5771375,-0.8402684,3.8176121,0.2036883,2.6973748,-0.3182901,5.2495709
1.5891959,-0.8501158,3.8297999,0.1575272,2.7094979,-0.3462943,5.2800866
1.6009720,-0.8602990,3.8391178,0.1107010,2.7200449,-0.3747990,5.3104800
1.6124330,-0.8708356,3.8458579,0.0634291,2.7291454,-0.4037033,5.3407831
1.6235404,-0.8817441,3.8505130,0.0159015,2.7370267,-0.4329213,5.3710453
1.6342494,-0.8930435,3.8535561,-0.0317601,2.7439027,-0.4624018,5.4013171
1.6445077,-0.9047530,3.8554121,-0.0794851,2.7499599,-0.4921190,5.4316454
1.6542545,-0.9168906,3.8564655,-0.1272361,2.7553600,-0.5220633,5.4620727
1.6634197,-0.9294721,3.8570715,-0.1749954,2.7602456,-0.5522338,5.4926361
1.6719230,-0.9425088,3.8575686,-0.2227561,2.7647458,-0.5826324,5.5233661
1.6796738,-0.9560056,3.8582911,-0.2705135,2.7689825,-0.6132595,5.5542849
1.6865718,-0.9699571,3.8595826,-0.3182585,2.7730772,-0.6441078,5.5854037
1.6925084,-0.9843451,3.8618078,-0.3659690,2.7771581,-0.6751571,5.6167200
1.6972667,-0.9991637,3.8653652,-0.4135989,2.7813159,-0.7063813,5.6482198
1.7007448,-1.0143315,3.8706961,-0.4610631,2.7857205,-0.7376973,5.6798441
1.7029032,-1.0297396,3.8782894,-0.5082176,2.7905963,-0.7689786,5.7115031
1.7036650,-1.0452795,3.8886558,-0.5548390,2.7961604,-0.8000592,5.7430779
1.7029839,-1.0608265,3.9019938,-0.6006965,2.8024889,-0.8307615,5.7744256
1.7006774,-1.0762169,3.9180783,-0.6456629,2.8093778,-0.8609399,5.8053803
1.6969687,-1.0913285,3.9366084,-0.6896775,2.8167885,-0.8905030,5.8358581
1.6918178,-1.1060043,3.9572558,-0.7327401,2.8245368,-0.9193722,5.8657489
1.6827267,-1.1176826,3.9796854,-0.7749032,2.8312061,-0.9462929,5.8934835
