x,y,yaw
2.9860533,-0.0933619,-0.8498010
3.0094063,-0.1204538,-0.8689019
3.0322393,-0.1479855,-0.8878918
3.0545468,-0.1759447,-0.9067925
3.0763231,-0.2043196,-0.9256258
3.0975619,-0.2330990,-0.9444129
3.1182568,-0.2622720,-0.9631753
3.1384010,-0.2918279,-0.9819339
3.1579871,-0.3217566,-1.0007100
3.1770074,-0.3520479,-1.0195244
3.1954538,-0.3826922,-1.0383979
3.2133174,-0.4136797,-1.0573515
3.2305891,-0.4450010,-1.0764059
3.2472592,-0.4766467,-1.0955819
3.2633172,-0.5086071,-1.1149003
3.2787524,-0.5408730,-1.1343820
3.2935533,-0.5734348,-1.1540478
3.3077078,-0.6062826,-1.1739184
3.3212033,-0.6394066,-1.1940147
3.3340265,-0.6727967,-1.2143575
3.3461635,-0.7064423,-1.2349673
3.3575999,-0.7403324,-1.2558649
3.3683205,-0.7744557,-1.2770704
3.3783097,-0.8088004,-1.2986040
3.3875513,-0.8433537,-1.3204854
3.3960284,-0.8781026,-1.3427338
3.4037239,-0.9130330,-1.3653679
3.4106199,-0.9481301,-1.3884054
3.4166984,-0.9833781,-1.4118632
3.4219409,-1.0187604,-1.4359126
3.4263177,-1.0542602,-1.4605606
3.4298103,-1.0898578,-1.4853170
3.4324247,-1.1255303,-1.5100540
3.4341525,-1.1612564,-1.5349880
3.4349855,-1.1970142,-1.5601377
3.4349149,-1.2327814,-1.5855218
3.4339322,-1.2685349,-1.6111589
3.4320287,-1.3042509,-1.6370671
3.4291955,-1.3399049,-1.6632640
3.4254242,-1.3754718,-1.6897668
3.4207061,-1.4109253,-1.7165916
3.4150330,-1.4462385,-1.7437538
3.4083969,-1.4813834,-1.7712674
3.4007902,-1.5163311,-1.7991450
3.3922058,-1.5510518,-1.8273975
3.3826374,-1.5855145,-1.8560342
3.3720795,-1.6196874,-1.8850618
3.3605274,-1.6535377,-1.9144849
3.3479775,-1.6870317,-1.9450637
3.3343777,-1.7201133,-1.9762609
3.3197640,-1.7527591,-2.0070217
3.3041566,-1.7849408,-2.0375250
3.2875803,-1.8166339,-2.0676151
3.2700659,-1.8478180,-2.0971896
3.2516453,-1.8784753,-2.1262320
3.2323503,-1.9085900,-2.1547308
3.2122131,-1.9381482,-2.1826792
3.1912656,-1.9671381,-2.2100747
3.1695396,-1.9955495,-2.2369183
3.1470664,-2.0233740,-2.2632150
3.1238764,-2.0506046,-2.2889723
3.0999997,-2.0772355,-2.3142008
3.0754654,-2.1032624,-2.3389133
3.0503016,-2.1286817,-2.3631245
3.0245356,-2.1534911,-2.3872975
2.9981724,-2.1776649,-2.4109623
2.9712617,-2.2012273,-2.4336915
2.9438276,-2.2241779,-2.4559959
2.9158932,-2.2465165,-2.4778983
2.8874807,-2.2682435,-2.4994201
2.8586111,-2.2893593,-2.5205828
2.8293048,-2.3098646,-2.5414084
2.7995811,-2.3297599,-2.5619189
2.7694586,-2.3490460,-2.5821304
2.7389553,-2.3677238,-2.6020183
2.7080897,-2.3857969,-2.6214930
2.6768821,-2.4032728,-2.6404801
2.6453526,-2.4201610,-2.6589640
2.6135204,-2.4364716,-2.6769435
2.5814040,-2.4522154,-2.6944197
2.5490212,-2.4674037,-2.7113953
2.5163887,-2.4820483,-2.7278745
2.4835229,-2.4961613,-2.7438632
2.4504388,-2.5097551,-2.7593681
2.4171511,-2.5228424,-2.7743973
2.3836733,-2.5354358,-2.7889596
2.3500184,-2.5475482,-2.8030644
2.3161986,-2.5591924,-2.8167218
2.2822253,-2.5703812,-2.8299424
2.2481093,-2.5811272,-2.8427370
2.2138608,-2.5914431,-2.8551166
2.1794890,-2.6013413,-2.8670924
2.1450031,-2.6108341,-2.8786757
2.1104111,-2.6199335,-2.8898776
2.0757209,-2.6286514,-2.9007093
2.0409398,-2.6369993,-2.9114163
2.0060708,-2.6449724,-2.9218008
1.9711239,-2.6525963,-2.9316094
1.9361053,-2.6598838,-2.9410598
1.9010207,-2.6668458,-2.9501898
1.8658751,-2.6734927,-2.9590093
1.8306732,-2.6798347,-2.9675278
1.7954194,-2.6858819,-2.9757546
1.7601180,-2.6916439,-2.9836985
1.7247726,-2.6971303,-2.9913679
1.6893869,-2.7023502,-2.9987710
1.6539641,-2.7073126,-3.0059153
1.6185073,-2.7120263,-3.0128084
1.5830194,-2.7165000,-3.0194570
1.5475030,-2.7207419,-3.0258678
1.5119605,-2.7247602,-3.0320470
1.4763943,-2.7285628,-3.0382104
1.4408050,-2.7321427,-3.0441633
1.4051960,-2.7355217,-3.0496718
1.3695695,-2.7387093,-3.0549403
1.3339270,-2.7417128,-3.0600017
1.2982700,-2.7445396,-3.0648602
1.2626000,-2.7471967,-3.0695192
1.2269183,-2.7496911,-3.0739821
1.1912260,-2.7520297,-3.0782515
1.1555242,-2.7542193,-3.0823300
1.1198140,-2.7562667,-3.0862195
1.0840962,-2.7581785,-3.0899218
1.0483718,-2.7599615,-3.0934380
1.0126414,-2.7616221,-3.0967690
0.9769059,-2.7631670,-3.0999690
0.9411656,-2.7645989,-3.1030129
0.9054213,-2.7659262,-3.1058408
0.8696735,-2.7671560,-3.1086660
0.8339223,-2.7682813,-3.1117247
