time,x,y,yaw,v_actual,v_cmd,e_y,e_psi,control_e_y,control_e_psi,filtered_e_y,filtered_e_psi,curvature_ref,curvature_preview,delta_raw,delta_rate_limited,delta_feedback,delta_feedforward,delta_cmd,lqr_k_y,lqr_k_psi,closest_idx,segment_idx,segment_t,compute_time_ms
1779540809.217543,0.092886,0.233265,0.028795,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.422717,1.554405,0,1380,1.000000,3.813001
1779540809.221564,0.092886,0.233265,0.028795,0.000000,0.004020,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462466,1.580886,0,1380,1.000000,2.524270
1779540809.225534,0.092886,0.233265,0.028795,0.000000,0.007991,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462510,1.580915,0,1380,1.000000,2.335162
1779540809.229650,0.092886,0.233265,0.028795,0.000000,0.012107,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462383,1.580831,0,1380,1.000000,3.396471
1779540809.233634,0.092886,0.233265,0.028795,0.000000,0.016091,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462498,1.580908,0,1380,1.000000,2.354221
1779540809.237541,0.092886,0.233265,0.028795,0.000000,0.019998,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462566,1.580952,0,1380,1.000000,2.278383
1779540809.241677,0.092886,0.233265,0.028795,0.000000,0.024133,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462365,1.580819,0,1380,1.000000,2.779754
1779540809.245479,0.092886,0.233265,0.028795,0.000000,0.027936,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462658,1.581013,0,1380,1.000000,2.776587
1779540809.249476,0.092886,0.233265,0.028795,0.000000,0.031933,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462487,1.580900,0,1380,1.000000,2.645631
1779540809.253567,0.092886,0.233265,0.028795,0.000000,0.036023,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462405,1.580846,0,1380,1.000000,2.383299
1779540809.257514,0.092886,0.233265,0.028795,0.000000,0.039971,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462530,1.580928,0,1380,1.000000,2.983881
1779540809.261967,0.092886,0.233265,0.028795,0.000000,0.044424,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462087,1.580635,0,1380,1.000000,2.593704
1779540809.265644,0.092886,0.233265,0.028795,0.000000,0.048101,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462768,1.581086,0,1380,1.000000,5.155246
1779540809.269500,0.092886,0.233265,0.028795,0.000000,0.051957,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.462610,1.580982,0,1380,1.000000,4.156726
1779540809.274640,0.092887,0.233265,0.028795,0.000115,0.057097,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.461485,1.580236,0,0,0.000007,2.685869
1779540809.277524,0.092887,0.233265,0.028795,0.000115,0.059980,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.036273,0.036273,-0.011977,0,-0.000000,-0.011977,-0.011977,1.463463,1.581548,0,0,0.000007,5.612467
1779540809.285957,0.092893,0.233265,0.028795,0.001061,0.068413,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.036273,0.036273,-0.011977,0,0.000000,-0.011977,-0.011977,1.458603,1.578323,0,0,0.000079,5.525707
1779540809.289518,0.092893,0.233265,0.028795,0.001061,0.071975,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.036273,0.036273,-0.011977,0,0.000000,-0.011977,-0.011977,1.462869,1.581154,0,0,0.000079,6.385052
1779540809.298380,0.092911,0.233266,0.028794,0.002529,0.080837,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.036273,0.036273,-0.011976,0,0.000000,-0.011977,-0.011976,1.458228,1.578074,0,0,0.000301,4.299692
1779540809.306728,0.092945,0.233267,0.028792,0.004309,0.089185,0.000000,-0.000001,0.000000,-0.000001,0.000000,-0.000001,-0.036272,0.036272,-0.011975,0,0.000001,-0.011977,-0.011975,1.458678,1.578372,0,0,0.000724,2.992737
1779540809.309509,0.092945,0.233267,0.028792,0.004309,0.091965,0.000000,-0.000001,0.000000,-0.000001,0.000000,-0.000001,-0.036272,0.036272,-0.011975,0,0.000001,-0.011977,-0.011975,1.463554,1.581608,0,0,0.000724,3.277343
1779540809.314862,0.092999,0.233268,0.028790,0.006575,0.097318,0.000000,-0.000001,0.000000,-0.000001,0.000000,-0.000001,-0.036272,0.036272,-0.011975,0,0.000002,-0.011976,-0.011975,1.461299,1.580112,0,0,0.001397,3.949610
1779540809.317486,0.092999,0.233268,0.028790,0.006575,0.099942,0.000000,-0.000001,0.000000,-0.000001,0.000000,-0.000001,-0.036272,0.036272,-0.011975,0,0.000002,-0.011976,-0.011975,1.463691,1.581699,0,0,0.001397,3.892103
1779540809.326828,0.093077,0.233270,0.028786,0.008977,0.109285,0.000000,-0.000002,0.000000,-0.000002,0.000000,-0.000002,-0.036271,0.036271,-0.011973,0,0.000003,-0.011976,-0.011973,1.457809,1.577795,0,0,0.002359,3.939223
1779540809.329485,0.093077,0.233270,0.028786,0.008977,0.111942,0.000000,-0.000002,0.000000,-0.000002,0.000000,-0.000002,-0.036271,0.036271,-0.011973,0,0.000003,-0.011976,-0.011973,1.463661,1.581679,0,0,0.002359,3.770061
1779540809.334830,0.093181,0.233273,0.028781,0.011803,0.117287,0.000000,-0.000004,0.000000,-0.000004,0.000000,-0.000004,-0.036271,0.036271,-0.011971,0,0.000005,-0.011976,-0.011971,1.461306,1.580116,0,0,0.003644,3.963288
1779540809.339427,0.093181,0.233273,0.028781,0.011803,0.121884,0.000000,-0.000004,0.000000,-0.000004,0.000000,-0.000004,-0.036271,0.036271,-0.011971,0,0.000005,-0.011976,-0.011971,1.461961,1.580551,0,0,0.003644,3.428792
1779540809.341524,0.093181,0.233273,0.028781,0.011803,0.123981,0.000000,-0.000004,0.000000,-0.000004,0.000000,-0.000004,-0.036271,0.036271,-0.011971,0,0.000005,-0.011976,-0.011971,1.464154,1.582005,0,0,0.003644,3.738712
1779540809.349561,0.093313,0.233277,0.028774,0.014664,0.132018,0.000001,-0.000005,0.000001,-0.000005,0.000001,-0.000005,-0.036269,0.036269,-0.011968,0,0.000008,-0.011976,-0.011968,1.458950,1.578553,0,0,0.005280,3.567485
1779540809.354663,0.093478,0.233282,0.028767,0.018340,0.137120,0.000001,-0.000007,0.000001,-0.000007,0.000001,-0.000007,-0.036268,0.036268,-0.011965,0,0.000010,-0.011975,-0.011965,1.461518,1.580258,0,0,0.007321,3.869372
1779540809.357444,0.093478,0.233282,0.028767,0.018340,0.139900,0.000001,-0.000007,0.000001,-0.000007,0.000001,-0.000007,-0.036268,0.036268,-0.011965,0,0.000010,-0.011975,-0.011965,1.463553,1.581607,0,0,0.007321,3.699300
1779540809.361522,0.093478,0.233282,0.028767,0.018340,0.143979,0.000001,-0.000007,0.000001,-0.000007,0.000001,-0.000007,-0.036268,0.036268,-0.011965,0,0.000010,-0.011975,-0.011965,1.462415,1.580853,0,0,0.007321,3.358571
1779540809.365607,0.093681,0.233288,0.028756,0.022220,0.148064,0.000001,-0.000010,0.000001,-0.000010,0.000001,-0.000010,-0.036267,0.036267,-0.011960,0,0.000014,-0.011975,-0.011960,1.462410,1.580849,0,0,0.009829,3.820878
