time,ego_collision,done,x,y,theta,requested_speed,steering_angle
1779541032.664445,0,1,-0.215791,0.219007,0.041855,1.000000,-0.008430
1779541032.674613,0,1,-0.205796,0.219342,0.041279,1.000000,-0.008430
1779541032.684470,0,1,-0.195802,0.219686,0.040894,1.000000,-0.008430
1779541032.694916,0,1,-0.185808,0.220011,0.040318,1.000000,-0.008189
1779541032.704716,0,1,-0.175813,0.220345,0.039933,1.000000,-0.008189
1779541032.714508,0,1,-0.165818,0.220661,0.039357,1.000000,-0.008189
1779541032.724453,0,1,-0.155823,0.220986,0.038972,1.000000,-0.007863
1779541032.734758,0,1,-0.145828,0.221292,0.038396,1.000000,-0.007863
1779541032.744667,0,1,-0.135833,0.221607,0.038011,1.000000,-0.007671
1779541032.754596,0,1,-0.125838,0.221903,0.037435,1.000000,-0.007671
1779541032.764471,0,1,-0.115842,0.222209,0.037050,1.000000,-0.007671
1779541032.774936,0,1,-0.105846,0.222496,0.036474,1.000000,-0.007428
1779541032.784582,0,1,-0.095851,0.222791,0.036089,1.000000,-0.007428
1779541032.794669,0,1,-0.085855,0.223069,0.035513,1.000000,-0.007428
1779541032.804496,0,1,-0.075859,0.223355,0.035128,1.000000,-0.007101
1779541032.814861,0,1,-0.065862,0.223623,0.034552,1.000000,-0.007101
1779541032.824523,0,1,-0.055866,0.223899,0.034167,1.000000,-0.007101
1779541032.834250,0,1,-0.045869,0.224157,0.033591,1.000000,-0.006908
1779541032.844514,0,1,-0.035873,0.224424,0.033206,1.000000,-0.006908
1779541032.854845,0,1,-0.025876,0.224673,0.032630,1.000000,-0.006673
1779541032.864511,0,1,-0.015879,0.224930,0.032245,1.000000,-0.006673
1779541032.874541,0,1,-0.005882,0.225169,0.031669,1.000000,-0.006673
1779541032.884494,0,1,0.004115,0.225417,0.031284,1.000000,-0.006325
1779541032.894706,0,1,0.014112,0.225646,0.030708,1.000000,-0.006325
1779541032.904707,0,1,0.024109,0.225884,0.030323,1.000000,-0.006325
1779541032.914546,0,1,0.034107,0.226104,0.029747,1.000000,-0.006144
1779541032.924284,0,1,0.044104,0.226332,0.029362,1.000000,-0.006144
1779541032.934691,0,1,0.054102,0.226542,0.028786,1.000000,-0.006144
1779541032.944237,0,1,0.064100,0.226761,0.028401,1.000000,-0.006144
1779541032.954428,0,1,0.074098,0.226962,0.027825,1.000000,-0.006144
1779541032.964654,0,1,0.084095,0.227171,0.027440,1.000000,-0.006144
1779541032.974647,0,1,0.094093,0.227362,0.026864,1.000000,-0.006144
1779541032.984245,0,1,0.104091,0.227562,0.026479,1.000000,-0.006144
1779541032.994214,0,1,0.114090,0.227743,0.025903,1.000000,-0.006144
1779541033.004533,0,1,0.124088,0.227933,0.025518,1.000000,-0.006144
1779541033.014604,0,1,0.134087,0.228105,0.024942,1.000000,-0.006144
1779541033.024337,0,1,0.144085,0.228285,0.024557,1.000000,-0.006144
1779541033.034323,0,1,0.154084,0.228447,0.023981,1.000000,-0.006144
1779541033.044088,0,1,0.164082,0.228618,0.023596,1.000000,-0.006144
1779541033.054303,0,1,0.174081,0.228770,0.023020,1.000000,-0.006144
1779541033.064534,0,1,0.184080,0.228932,0.022635,1.000000,-0.006144
1779541033.074234,0,1,0.194079,0.229074,0.022059,1.000000,-0.004805
1779541033.084433,0,1,0.204077,0.229226,0.021674,1.000000,-0.004805
1779541033.094709,0,1,0.214077,0.229359,0.021098,1.000000,-0.004805
1779541033.104438,0,1,0.224076,0.229501,0.020713,1.000000,-0.003776
1779541033.114143,0,1,0.234075,0.229625,0.020137,1.000000,-0.003654
1779541033.124171,0,1,0.244074,0.229757,0.019752,1.000000,-0.003654
1779541033.134637,0,1,0.254073,0.229871,0.019176,1.000000,-0.003349
1779541033.144100,0,1,0.264072,0.229994,0.018791,1.000000,-0.003128
1779541033.154488,0,1,0.274072,0.230099,0.018215,1.000000,-0.003128
1779541033.164402,0,1,0.284071,0.230212,0.017830,1.000000,-0.002805
1779541033.174654,0,1,0.294071,0.230307,0.017254,1.000000,-0.002805
1779541033.184482,0,1,0.304070,0.230410,0.016869,1.000000,-0.002475
1779541033.194427,0,1,0.314070,0.230495,0.016293,1.000000,-0.002370
1779541033.204365,0,1,0.324069,0.230589,0.015908,1.000000,-0.002370
1779541033.214545,0,1,0.334069,0.230665,0.015332,1.000000,-0.002050
1779541033.224570,0,1,0.344069,0.230749,0.014947,1.000000,-0.002050
1779541033.234527,0,1,0.354069,0.230815,0.014371,1.000000,-0.001819
1779541033.244444,0,1,0.364068,0.230890,0.013986,1.000000,-0.001476
1779541033.254666,0,1,0.374068,0.230946,0.013410,1.000000,-0.001476
1779541033.264549,0,1,0.384068,0.231012,0.013025,1.000000,-0.001130
1779541033.274534,0,1,0.394068,0.231058,0.012449,1.000000,-0.001012
1779541033.284551,0,1,0.404068,0.231114,0.012064,1.000000,-0.001012
1779541033.294515,0,1,0.414068,0.231151,0.011488,1.000000,-0.000674
1779541033.304189,0,1,0.424067,0.231197,0.011103,1.000000,-0.000674
1779541033.314176,0,1,0.434067,0.231224,0.010527,1.000000,-0.000434
1779541033.324425,0,1,0.444067,0.231261,0.010142,1.000000,-0.000073
1779541033.334573,0,1,0.454067,0.231279,0.009566,1.000000,-0.000073
1779541033.344480,0,1,0.464067,0.231317,0.009304,1.000000,0.000277
1779541033.354561,0,1,0.474067,0.231377,0.009204,1.000000,0.000277
1779541033.364469,0,1,0.484067,0.231462,0.009287,1.000000,0.000654
1779541033.374685,0,1,0.494066,0.231594,0.009746,1.000000,0.000782
1779541033.384500,0,1,0.504065,0.231734,0.010083,1.000000,0.000782
1779541033.394548,0,1,0.514063,0.231903,0.010637,1.000000,0.001067
1779541033.404495,0,1,0.524062,0.232070,0.011012,1.000000,0.000991
1779541033.414801,0,1,0.534060,0.232258,0.011583,1.000000,0.000991
1779541033.424675,0,1,0.544059,0.232439,0.011965,1.000000,0.000312
1779541033.434506,0,1,0.554057,0.232641,0.012539,1.000000,0.000312
1779541033.444350,0,1,0.564055,0.232834,0.012924,1.000000,0.000312
1779541033.454950,0,1,0.574052,0.233046,0.013499,1.000000,0.000312
1779541033.464499,0,1,0.584050,0.233250,0.013884,1.000000,0.000312
1779541033.474452,0,1,0.594048,0.233472,0.014459,1.000000,0.000312
1779541033.484482,0,1,0.604046,0.233685,0.014844,1.000000,0.000312
1779541033.494749,0,1,0.614043,0.233917,0.015420,1.000000,0.000312
1779541033.504643,0,1,0.624040,0.234140,0.015805,1.000000,0.000312
1779541033.514415,0,1,0.634037,0.234381,0.016381,1.000000,0.000312
1779541033.524414,0,1,0.644035,0.234614,0.016766,1.000000,0.000312
1779541033.534706,0,1,0.654032,0.234865,0.017342,1.000000,0.000312
1779541033.544600,0,1,0.664029,0.235108,0.017727,1.000000,0.000312
1779541033.554548,0,1,0.674025,0.235368,0.018303,1.000000,0.000312
1779541033.564563,0,1,0.684022,0.235620,0.018688,1.000000,-0.007765
1779541033.574665,0,1,0.694018,0.235891,0.019264,1.000000,-0.008380
1779541033.584510,0,1,0.704016,0.236128,0.019403,1.000000,-0.008380
1779541033.594485,0,1,0.714014,0.236305,0.019026,1.000000,-0.008873
