time,ego_collision,done,x,y,theta,requested_speed,steering_angle
1779541788.375585,0,1,-0.222808,0.223877,0.058250,3.000000,-0.035264
1779541788.385576,0,1,-0.192858,0.225517,0.056944,3.000000,-0.035264
1779541788.395508,0,1,-0.162907,0.227141,0.055758,3.000000,-0.035264
1779541788.405583,0,1,-0.132952,0.228695,0.054062,3.000000,-0.038843
1779541788.415541,0,1,-0.102991,0.230131,0.051470,3.000000,-0.038843
1779541788.425086,0,1,-0.073025,0.231481,0.048547,3.000000,-0.041194
1779541788.435279,0,1,-0.043055,0.232717,0.045110,3.000000,-0.041194
1779541788.445696,0,1,-0.013081,0.233867,0.041606,3.000000,-0.041194
1779541788.455939,0,1,0.016898,0.234901,0.037771,3.000000,-0.039612
1779541788.465399,0,1,0.046879,0.235845,0.033998,3.000000,-0.039612
1779541788.475605,0,1,0.076865,0.236670,0.029981,3.000000,-0.039612
1779541788.485523,0,1,0.106853,0.237400,0.026086,3.000000,-0.039612
1779541788.495712,0,1,0.136843,0.238007,0.021988,3.000000,-0.039612
1779541788.505111,0,1,0.166836,0.238516,0.018041,3.000000,-0.039612
1779541788.515480,0,1,0.196831,0.238899,0.013910,3.000000,-0.039612
1779541788.525341,0,1,0.226827,0.239181,0.009942,3.000000,-0.039612
1779541788.535794,0,1,0.256824,0.239333,0.005799,3.000000,-0.039612
1779541788.546224,0,1,0.286822,0.239383,0.001823,3.000000,-0.039612
1779541788.555589,0,1,0.316819,0.239301,6.280863,3.000000,-0.039612
1779541788.565529,0,1,0.346817,0.239115,6.276886,3.000000,-0.039612
1779541788.575423,0,1,0.376813,0.238797,6.272741,3.000000,-0.039612
1779541788.585073,0,1,0.406808,0.238373,6.268765,3.000000,-0.039612
1779541788.595467,0,1,0.436801,0.237816,6.264621,3.000000,-0.039612
1779541788.605041,0,1,0.466792,0.237152,6.260648,3.000000,-0.039612
1779541788.615384,0,1,0.496780,0.236355,6.256505,3.000000,-0.039612
1779541788.625643,0,1,0.526764,0.235451,6.252533,3.000000,-0.039612
1779541788.635288,0,1,0.556745,0.234413,6.248391,3.000000,-0.039612
1779541788.645357,0,1,0.586721,0.233267,6.244420,3.000000,-0.039612
1779541788.655169,0,1,0.616693,0.231988,6.240280,3.000000,-0.039612
1779541788.665155,0,1,0.646659,0.230600,6.236310,3.000000,0.022759
1779541788.675524,0,1,0.676619,0.229078,6.232170,3.000000,0.022759
1779541788.685563,0,1,0.706575,0.227475,6.228509,3.000000,0.022759
1779541788.695539,0,1,0.736531,0.225861,6.226030,3.000000,0.070942
1779541788.705456,0,1,0.766488,0.224278,6.224914,3.000000,0.070942
1779541788.715483,0,1,0.796445,0.222692,6.224451,3.000000,0.070942
1779541788.725414,0,1,0.826353,0.221158,6.225051,2.946002,0.094830
