time,mode,obstacle_count,chosen_offset,speed_limit,min_obstacle_clearance,candidate_count,collision_free_count
1779543139.344287,pass_through,0,0.000,1.000,inf,1,1
1779543139.378584,pass_through,0,0.000,1.000,inf,1,1
1779543139.428169,pass_through,0,0.000,1.000,inf,1,1
1779543139.478186,pass_through,0,0.000,1.000,inf,1,1
1779543139.528441,pass_through,0,0.000,1.000,inf,1,1
1779543139.578828,pass_through,0,0.000,1.000,inf,1,1
1779543139.628181,pass_through,0,0.000,1.000,inf,1,1
1779543139.678187,pass_through,0,0.000,1.000,inf,1,1
1779543139.785094,pass_through,0,0.000,1.000,inf,1,1
1779543139.828174,pass_through,0,0.000,1.000,inf,1,1
1779543139.878164,pass_through,0,0.000,1.000,inf,1,1
1779543139.928211,pass_through,0,0.000,1.000,inf,1,1
1779543139.978138,pass_through,0,0.000,1.000,inf,1,1
1779543140.028570,pass_through,0,0.000,1.000,inf,1,1
1779543140.078165,pass_through,0,0.000,1.000,inf,1,1
1779543140.128259,pass_through,0,0.000,1.000,inf,1,1
1779543140.178154,pass_through,0,0.000,1.000,inf,1,1
1779543140.285667,pass_through,0,0.000,1.000,inf,1,1
1779543140.328126,pass_through,0,0.000,1.000,inf,1,1
1779543140.378133,pass_through,0,0.000,1.000,inf,1,1
1779543140.428145,pass_through,0,0.000,1.000,inf,1,1
1779543140.478133,pass_through,0,0.000,1.000,inf,1,1
1779543140.528428,pass_through,0,0.000,1.000,inf,1,1
1779543140.578165,pass_through,0,0.000,1.000,inf,1,1
1779543140.628306,pass_through,0,0.000,1.000,inf,1,1
1779543140.678160,pass_through,0,0.000,1.000,inf,1,1
1779543140.781328,pass_through,0,0.000,1.000,inf,1,1
1779543140.828221,pass_through,0,0.000,1.000,inf,1,1
1779543140.878116,pass_through,0,0.000,1.000,inf,1,1
1779543140.928413,pass_through,0,0.000,1.000,inf,1,1
1779543140.978185,pass_through,0,0.000,1.000,inf,1,1
1779543141.028489,pass_through,0,0.000,1.000,inf,1,1
1779543141.078164,pass_through,0,0.000,1.000,inf,1,1
1779543141.128191,pass_through,0,0.000,1.000,inf,1,1
1779543141.178459,pass_through,0,0.000,1.000,inf,1,1
1779543141.300472,pass_through,0,0.000,1.000,inf,1,1
1779543141.328123,pass_through,0,0.000,1.000,inf,1,1
1779543141.378183,pass_through,0,0.000,1.000,inf,1,1
1779543141.428606,pass_through,0,0.000,1.000,inf,1,1
1779543141.478142,pass_through,0,0.000,1.000,inf,1,1
1779543141.528176,pass_through,0,0.000,1.000,inf,1,1
1779543141.578100,pass_through,0,0.000,1.000,inf,1,1
1779543141.628339,pass_through,0,0.000,1.000,inf,1,1
1779543141.678157,pass_through,0,0.000,1.000,inf,1,1
1779543141.798949,pass_through,0,0.000,1.000,inf,1,1
1779543141.828181,pass_through,0,0.000,1.000,inf,1,1
1779543141.878101,pass_through,0,0.000,1.000,inf,1,1
