time,ego_collision,done,x,y,theta,requested_speed,steering_angle
1779543299.520336,0,1,0.501636,0.323000,6.257799,1.000000,-0.000789
1779543299.530682,0,1,0.511631,0.322663,6.257224,1.000000,-0.000789
1779543299.541121,0,1,0.521625,0.322334,6.256838,1.000000,-0.000789
1779543299.550488,0,1,0.531619,0.321988,6.256263,1.000000,0.000256
1779543299.560697,0,1,0.541613,0.321649,6.255877,1.000000,0.000256
1779543299.570569,0,1,0.551607,0.321293,6.255302,1.000000,0.000256
1779543299.580992,0,1,0.561602,0.320969,6.255162,1.000000,0.000256
1779543299.590485,0,1,0.571598,0.320706,6.255539,1.000000,0.000701
1779543299.600709,0,1,0.581595,0.320460,6.255844,1.000000,0.000701
1779543299.610594,0,1,0.591593,0.320247,6.256385,1.000000,0.000701
1779543299.620496,0,1,0.601591,0.320035,6.256754,1.000000,0.001484
1779543299.630693,0,1,0.611589,0.319846,6.257321,1.000000,0.001484
1779543299.640512,0,1,0.621587,0.319652,6.257702,1.000000,0.001484
1779543299.650671,0,1,0.631586,0.319478,6.258276,1.000000,0.001052
1779543299.660442,0,1,0.641584,0.319296,6.258660,1.000000,0.001052
1779543299.670514,0,1,0.651583,0.319133,6.259234,1.000000,0.001052
1779543299.680740,0,1,0.661581,0.318962,6.259619,1.000000,-0.000812
1779543299.690579,0,1,0.671580,0.318810,6.260195,1.000000,-0.000812
1779543299.700555,0,1,0.681578,0.318625,6.260334,1.000000,-0.000812
1779543299.710460,0,1,0.691575,0.318379,6.259957,1.000000,-0.002013
1779543299.720493,0,1,0.701572,0.318116,6.259652,1.000000,-0.002013
1779543299.730620,0,1,0.711567,0.317820,6.259111,1.000000,-0.002013
1779543299.740753,0,1,0.721563,0.317524,6.258742,1.000000,-0.003912
1779543299.750285,0,1,0.731558,0.317204,6.258174,1.000000,-0.003912
1779543299.760768,0,1,0.741553,0.316889,6.257793,1.000000,-0.003912
1779543299.770778,0,1,0.751547,0.316555,6.257220,1.000000,-0.003669
1779543299.780677,0,1,0.761542,0.316228,6.256836,1.000000,-0.003669
1779543299.790564,0,1,0.771536,0.315882,6.256261,1.000000,-0.003669
1779543299.800502,0,1,0.781530,0.315544,6.255876,1.000000,-0.002625
1779543299.810332,0,1,0.791524,0.315188,6.255301,1.000000,-0.002625
1779543299.820553,0,1,0.801518,0.314841,6.254916,1.000000,-0.002625
1779543299.830791,0,1,0.811511,0.314475,6.254340,1.000000,-0.001647
1779543299.840607,0,1,0.821505,0.314117,6.253955,1.000000,-0.001647
1779543299.850478,0,1,0.831498,0.313742,6.253379,1.000000,-0.001647
1779543299.861006,0,1,0.841491,0.313375,6.252994,1.000000,-0.001738
1779543299.870667,0,1,0.851483,0.312990,6.252419,1.000000,-0.001738
1779543299.880747,0,1,0.861476,0.312613,6.252033,1.000000,-0.001738
1779543299.890770,0,1,0.871469,0.312218,6.251458,1.000000,-0.000726
1779543299.901138,0,1,0.881461,0.311832,6.251072,1.000000,-0.000726
1779543299.910339,0,1,0.891453,0.311428,6.250497,1.000000,-0.000726
1779543299.920740,0,1,0.901445,0.311032,6.250111,1.000000,-0.000726
1779543299.930807,0,1,0.911436,0.310618,6.249536,1.000000,-0.000320
1779543299.941052,0,1,0.921428,0.310212,6.249150,1.000000,-0.000320
1779543299.950483,0,1,0.931419,0.309789,6.248575,1.000000,-0.000320
1779543299.960344,0,1,0.941411,0.309374,6.248189,1.000000,0.000879
1779543299.970511,0,1,0.951401,0.308940,6.247614,1.000000,0.000879
1779543299.980680,0,1,0.961393,0.308540,6.247474,1.000000,0.000879
1779543299.990682,0,1,0.971387,0.308200,6.247851,1.000000,0.001229
1779543300.000787,0,1,0.981382,0.307877,6.248156,1.000000,0.001229
1779543300.010458,0,1,0.991378,0.307587,6.248697,1.000000,0.001229
1779543300.020557,0,1,1.001374,0.307298,6.249066,1.000000,0.001229
1779543300.030525,0,1,1.011370,0.307033,6.249633,1.000000,0.001859
1779543300.040599,0,1,1.021367,0.306761,6.250014,1.000000,0.001859
1779543300.050300,0,1,1.031363,0.306510,6.250588,1.000000,0.001859
1779543300.060566,0,1,1.041360,0.306252,6.250972,1.000000,0.000242
1779543300.070302,0,1,1.051357,0.306012,6.251546,1.000000,0.000242
1779543300.080756,0,1,1.061354,0.305764,6.251931,1.000000,0.000242
1779543300.090542,0,1,1.071351,0.305535,6.252507,1.000000,-0.000828
1779543300.100658,0,1,1.081349,0.305297,6.252892,1.000000,-0.000828
1779543300.110540,0,1,1.091346,0.305077,6.253467,1.000000,-0.000828
1779543300.120646,0,1,1.101343,0.304825,6.253607,1.000000,-0.002562
1779543300.130725,0,1,1.111338,0.304512,6.253230,1.000000,-0.002562
1779543300.140817,0,1,1.121333,0.304182,6.252924,1.000000,-0.002562
1779543300.150340,0,1,1.131326,0.303819,6.252384,1.000000,-0.003833
1779543300.160569,0,1,1.141319,0.303455,6.252015,1.000000,-0.003833
1779543300.170283,0,1,1.151312,0.303068,6.251447,1.000000,-0.003833
1779543300.181999,0,1,1.161305,0.302687,6.251066,1.000000,-0.004619
1779543300.190656,0,1,1.171297,0.302285,6.250493,1.000000,-0.004619
1779543300.200510,0,1,1.181289,0.301891,6.250109,1.000000,-0.004619
1779543300.210305,0,1,1.191280,0.301478,6.249534,1.000000,-0.003808
1779543300.220879,0,1,1.201272,0.301073,6.249149,1.000000,-0.003808
1779543300.230759,0,1,1.211263,0.300649,6.248574,1.000000,-0.003808
1779543300.240762,0,1,1.221254,0.300235,6.248189,1.000000,-0.003808
1779543300.250496,0,1,1.231245,0.299801,6.247613,1.000000,-0.002978
1779543300.260664,0,1,1.241236,0.299377,6.247228,1.000000,-0.002978
1779543300.270778,0,1,1.251226,0.298934,6.246652,1.000000,-0.002978
1779543300.280751,0,1,1.261217,0.298500,6.246267,1.000000,-0.002256
1779543300.290450,0,1,1.271207,0.298047,6.245692,1.000000,-0.002256
1779543300.300493,0,1,1.281197,0.297604,6.245306,1.000000,-0.002256
1779543300.310411,0,1,1.291186,0.297142,6.244731,1.000000,-0.001107
1779543300.320510,0,1,1.301176,0.296688,6.244345,1.000000,-0.001107
1779543300.330638,0,1,1.311165,0.296217,6.243770,1.000000,-0.001107
1779543300.342606,0,1,1.321154,0.295754,6.243384,1.000000,0.000000
1779543300.351271,0,1,1.331142,0.295272,6.242809,1.000000,0.000000
1779543300.360860,0,1,1.341132,0.294812,6.242546,1.000000,0.000000
1779543300.370800,0,1,1.351122,0.294372,6.242447,1.000000,0.000000
1779543300.380916,0,1,1.361113,0.293946,6.242407,1.000000,-0.000480
1779543300.390678,0,1,1.371104,0.293527,6.242389,1.000000,-0.000480
1779543300.400766,0,1,1.381095,0.293100,6.242258,1.000000,-0.000480
1779543300.410756,0,1,1.391084,0.292637,6.241778,1.000000,0.000903
1779543300.420675,0,1,1.401073,0.292171,6.241430,1.000000,0.000903
1779543300.430516,0,1,1.411061,0.291680,6.240871,1.000000,0.000903
1779543300.440891,0,1,1.421051,0.291218,6.240739,1.000000,0.000432
1779543300.450916,0,1,1.431042,0.290814,6.241119,1.000000,0.000432
1779543300.461111,0,1,1.441035,0.290426,6.241427,1.000000,0.000432
1779543300.470802,0,1,1.451029,0.290071,6.241969,1.000000,0.000432
1779543300.480750,0,1,1.461022,0.289715,6.242338,1.000000,0.000580
1779543300.490419,0,1,1.471017,0.289382,6.242906,1.000000,0.000580
1779543300.500847,0,1,1.481011,0.289044,6.243287,1.000000,0.000580
1779543300.510778,0,1,1.491006,0.288726,6.243860,1.000000,0.000540
1779543300.520362,0,1,1.501001,0.288400,6.244245,1.000000,0.000540
1779543300.530706,0,1,1.510996,0.288094,6.244819,1.000000,0.000540
1779543300.540721,0,1,1.520991,0.287778,6.245204,1.000000,-0.001217
1779543300.550397,0,1,1.530987,0.287482,6.245780,1.000000,-0.001217
1779543300.560556,0,1,1.540981,0.287153,6.245919,1.000000,-0.001217
1779543300.570719,0,1,1.550973,0.286763,6.245542,1.000000,-0.001217
1779543300.580600,0,1,1.560965,0.286356,6.245237,1.000000,-0.002775
1779543300.590768,0,1,1.570955,0.285916,6.244696,1.000000,-0.002775
1779543300.600700,0,1,1.580946,0.285475,6.244327,1.000000,-0.002775
1779543300.610565,0,1,1.590935,0.285011,6.243759,1.000000,-0.004373
1779543300.621007,0,1,1.600924,0.284553,6.243378,1.000000,-0.004373
1779543300.630807,0,1,1.610913,0.284074,6.242805,1.000000,-0.004373
1779543300.640687,0,1,1.620902,0.283603,6.242421,1.000000,-0.003872
1779543300.650674,0,1,1.630890,0.283113,6.241846,1.000000,-0.003872
1779543300.661386,0,1,1.640878,0.282632,6.241461,1.000000,-0.003872
1779543300.670540,0,1,1.650866,0.282132,6.240886,1.000000,-0.003872
1779543300.680805,0,1,1.660854,0.281640,6.240501,1.000000,-0.003393
1779543300.690823,0,1,1.670841,0.281130,6.239925,1.000000,-0.003393
1779543300.701000,0,1,1.680828,0.280629,6.239540,1.000000,-0.003393
1779543300.710488,0,1,1.690815,0.280109,6.238965,1.000000,-0.002627
1779543300.720551,0,1,1.700801,0.279598,6.238579,1.000000,-0.002627
1779543300.730805,0,1,1.710787,0.279069,6.238004,1.000000,-0.002627
1779543300.740932,0,1,1.720774,0.278548,6.237618,1.000000,-0.001389
1779543300.750632,0,1,1.730759,0.278010,6.237043,1.000000,-0.001389
1779543300.760442,0,1,1.740745,0.277479,6.236657,1.000000,-0.001389
1779543300.770748,0,1,1.750730,0.276931,6.236082,1.000000,-0.000352
1779543300.780699,0,1,1.760716,0.276391,6.235696,1.000000,-0.000352
1779543300.790796,0,1,1.770700,0.275833,6.235121,1.000000,-0.000352
1779543300.800435,0,1,1.780685,0.275284,6.234735,1.000000,0.000852
1779543300.810745,0,1,1.790669,0.274716,6.234160,1.000000,0.000852
1779543300.820662,0,1,1.800654,0.274181,6.234020,1.000000,0.000852
1779543300.830836,0,1,1.810643,0.273707,6.234397,1.000000,0.001565
1779543300.840584,0,1,1.820633,0.273250,6.234702,1.000000,0.001565
1779543300.850811,0,1,1.830624,0.272826,6.235243,1.000000,0.001565
1779543300.860848,0,1,1.840615,0.272402,6.235612,1.000000,0.001565
1779543300.870692,0,1,1.850607,0.272002,6.236179,1.000000,0.001454
1779543300.880527,0,1,1.860599,0.271596,6.236560,1.000000,0.001454
1779543300.890505,0,1,1.870591,0.271211,6.237134,1.000000,0.001454
1779543300.901094,0,1,1.880583,0.270818,6.237518,1.000000,0.000456
1779543300.910852,0,1,1.890576,0.270444,6.238092,1.000000,0.000456
1779543300.920763,0,1,1.900569,0.270061,6.238477,1.000000,0.000456
1779543300.930661,0,1,1.910562,0.269697,6.239053,1.000000,-0.001051
1779543300.941521,0,1,1.920555,0.269325,6.239438,1.000000,-0.001051
1779543300.950862,0,1,1.930549,0.268971,6.240013,1.000000,-0.001051
1779543300.960496,0,1,1.940542,0.268584,6.240153,1.000000,-0.001051
1779543300.970345,0,1,1.950532,0.268137,6.239776,1.000000,-0.003052
1779543300.980687,0,1,1.960521,0.267672,6.239470,1.000000,-0.003052
1779543300.990674,0,1,1.970508,0.267175,6.238930,1.000000,-0.003934
1779543301.000460,0,1,1.980496,0.266677,6.238561,1.000000,-0.003934
1779543301.010499,0,1,1.990482,0.266155,6.237993,1.000000,-0.003934
1779543301.020402,0,1,2.000469,0.265639,6.237612,1.000000,-0.003934
1779543301.030532,0,1,2.010455,0.265103,6.237039,1.000000,-0.004485
1779543301.040409,0,1,2.020441,0.264574,6.236655,1.000000,-0.004485
1779543301.050710,0,1,2.030426,0.264027,6.236080,1.000000,-0.004485
1779543301.060688,0,1,2.040411,0.263488,6.235695,1.000000,-0.003906
1779543301.070677,0,1,2.050396,0.262930,6.235120,1.000000,-0.003906
1779543301.080796,0,1,2.060381,0.262381,6.234735,1.000000,-0.003906
1779543301.090784,0,1,2.070364,0.261813,6.234159,1.000000,-0.002864
1779543301.100962,0,1,2.080349,0.261254,6.233774,1.000000,-0.002864
1779543301.110654,0,1,2.090332,0.260677,6.233199,1.000000,-0.002864
1779543301.120624,0,1,2.100316,0.260109,6.232813,1.000000,-0.002222
1779543301.130706,0,1,2.110299,0.259522,6.232238,1.000000,-0.002222
1779543301.140860,0,1,2.120282,0.258944,6.231852,1.000000,-0.002222
1779543301.150545,0,1,2.130264,0.258347,6.231277,1.000000,-0.001205
1779543301.160307,0,1,2.140247,0.257759,6.230891,1.000000,-0.001205
1779543301.170778,0,1,2.150228,0.257153,6.230316,1.000000,-0.001205
1779543301.180817,0,1,2.160211,0.256556,6.229930,1.000000,-0.000518
1779543301.190565,0,1,2.170192,0.255940,6.229355,1.000000,-0.000518
1779543301.200287,0,1,2.180173,0.255333,6.228969,1.000000,-0.000518
1779543301.210351,0,1,2.190154,0.254708,6.228394,1.000000,-0.000107
1779543301.221076,0,1,2.200135,0.254092,6.228008,1.000000,-0.000107
1779543301.230737,0,1,2.210114,0.253457,6.227433,1.000000,-0.000107
1779543301.240625,0,1,2.220095,0.252831,6.227047,1.000000,0.001204
1779543301.250656,0,1,2.230074,0.252186,6.226472,1.000000,0.001204
1779543301.260898,0,1,2.240055,0.251575,6.226332,1.000000,0.001204
1779543301.270580,0,1,2.250040,0.251024,6.226709,1.000000,0.002310
1779543301.280716,0,1,2.260026,0.250490,6.227014,1.000000,0.002310
1779543301.290390,0,1,2.270013,0.249989,6.227555,1.000000,0.002310
1779543301.300505,0,1,2.280001,0.249488,6.227924,1.000000,0.003106
1779543301.310360,0,1,2.289989,0.249011,6.228491,1.000000,0.003106
1779543301.320285,0,1,2.299978,0.248529,6.228873,1.000000,0.003106
1779543301.330380,0,1,2.309967,0.248067,6.229446,1.000000,0.002329
1779543301.340723,0,1,2.319956,0.247597,6.229830,1.000000,0.002329
1779543301.350459,0,1,2.329946,0.247146,6.230404,1.000000,0.001601
1779543301.360831,0,1,2.339935,0.246687,6.230789,1.000000,0.001601
1779543301.370274,0,1,2.349925,0.246246,6.231365,1.000000,0.001601
1779543301.380754,0,1,2.359915,0.245797,6.231750,1.000000,0.001601
1779543301.390697,0,1,2.369906,0.245366,6.232325,1.000000,-0.000698
1779543301.400726,0,1,2.379896,0.244926,6.232711,1.000000,-0.000698
1779543301.410492,0,1,2.389887,0.244505,6.233286,1.000000,-0.000698
1779543301.420906,0,1,2.399877,0.244051,6.233426,1.000000,-0.002299
1779543301.430620,0,1,2.409864,0.243537,6.233049,1.000000,-0.002299
1779543301.440363,0,1,2.419850,0.243005,6.232743,1.000000,-0.002299
1779543301.450558,0,1,2.429834,0.242440,6.232203,1.000000,-0.003544
1779543301.460628,0,1,2.439818,0.241875,6.231834,1.000000,-0.003544
1779543301.470819,0,1,2.449800,0.241286,6.231266,1.000000,-0.003544
1779543301.480673,0,1,2.459783,0.240703,6.230885,1.000000,-0.004117
1779543301.490436,0,1,2.469765,0.240100,6.230312,1.000000,-0.004117
1779543301.500751,0,1,2.479747,0.239504,6.229928,1.000000,-0.004117
1779543301.510594,0,1,2.489728,0.238890,6.229353,1.000000,-0.003716
1779543301.520305,0,1,2.499710,0.238283,6.228968,1.000000,-0.003716
1779543301.530492,0,1,2.509691,0.237658,6.228393,1.000000,-0.003716
1779543301.541084,0,1,2.519672,0.237042,6.228008,1.000000,-0.002528
1779543301.550828,0,1,2.529651,0.236407,6.227432,1.000000,-0.002528
1779543301.560429,0,1,2.539632,0.235781,6.227047,1.000000,-0.002528
1779543301.570337,0,1,2.549611,0.235137,6.226472,1.000000,-0.001943
1779543301.580435,0,1,2.559591,0.234501,6.226086,1.000000,-0.001943
1779543301.590586,0,1,2.569569,0.233847,6.225511,1.000000,-0.001943
1779543301.600537,0,1,2.579548,0.233202,6.225125,1.000000,-0.000758
1779543301.610543,0,1,2.589526,0.232538,6.224550,1.000000,-0.000758
1779543301.620522,0,1,2.599505,0.231884,6.224164,1.000000,-0.000758
1779543301.630722,0,1,2.609482,0.231210,6.223589,1.000000,-0.000204
1779543301.640724,0,1,2.619460,0.230546,6.223203,1.000000,-0.000204
1779543301.650634,0,1,2.629437,0.229863,6.222628,1.000000,-0.000204
1779543301.660727,0,1,2.639414,0.229189,6.222242,1.000000,-0.000204
1779543301.670538,0,1,2.649390,0.228497,6.221667,1.000000,0.000825
1779543301.680826,0,1,2.659367,0.227813,6.221281,1.000000,0.000825
1779543301.690486,0,1,2.669342,0.227111,6.220706,1.000000,0.000825
1779543301.702120,0,1,2.679320,0.226442,6.220566,1.000000,0.001618
1779543301.711025,0,1,2.689301,0.225833,6.220943,1.000000,0.001618
1779543301.720763,0,1,2.699283,0.225242,6.221248,1.000000,0.001618
1779543301.730527,0,1,2.709268,0.224683,6.221789,1.000000,0.002652
1779543301.740967,0,1,2.719252,0.224125,6.222158,1.000000,0.002652
1779543301.750897,0,1,2.729238,0.223591,6.222726,1.000000,0.002652
1779543301.760680,0,1,2.739223,0.223051,6.223107,1.000000,0.003018
1779543301.770912,0,1,2.749210,0.222531,6.223680,1.000000,0.003018
1779543301.781039,0,1,2.759196,0.222003,6.224064,1.000000,0.003018
1779543301.790354,0,1,2.769183,0.221495,6.224638,1.000000,0.002033
1779543301.801592,0,1,2.779170,0.220978,6.225023,1.000000,0.002033
1779543301.810884,0,1,2.789157,0.220480,6.225599,1.000000,0.002033
1779543301.821099,0,1,2.799144,0.219973,6.225984,1.000000,0.002033
1779543301.830770,0,1,2.809132,0.219484,6.226559,1.000000,0.000429
1779543301.840776,0,1,2.819120,0.218987,6.226945,1.000000,0.000429
1779543301.850520,0,1,2.829109,0.218508,6.227520,1.000000,0.000429
1779543301.861382,0,1,2.839097,0.218021,6.227906,1.000000,-0.000381
1779543301.870812,0,1,2.849086,0.217552,6.228481,1.000000,-0.000381
1779543301.880998,0,1,2.859073,0.217050,6.228621,1.000000,-0.000381
1779543301.890565,0,1,2.869057,0.216487,6.228244,1.000000,-0.003001
1779543301.901035,0,1,2.879040,0.215908,6.227938,1.000000,-0.003001
1779543301.910969,0,1,2.889022,0.215295,6.227398,1.000000,-0.003001
1779543301.920861,0,1,2.899003,0.214682,6.227029,1.000000,-0.003001
1779543301.930455,0,1,2.908982,0.214045,6.226461,1.000000,-0.004642
1779543301.940574,0,1,2.918962,0.213414,6.226080,1.000000,-0.004642
