x,y,yaw
-0.0000000,4.0000000,3.1415927
-0.0800000,4.0000000,3.1415927
-0.1600000,4.0000000,3.1415927
-0.2400000,4.0000000,3.1415927
-0.3200000,4.0000000,3.1415927
-0.4000000,4.0000000,3.1415927
-0.4800000,4.0000000,3.1415927
-0.5600000,4.0000000,3.1415927
-0.6400000,4.0000000,3.1415927
-0.7200000,4.0000000,3.1415927
-0.8000000,4.0000000,3.1415927
-0.8800000,4.0000000,3.1415927
-0.9600000,4.0000000,3.1415927
-1.0400000,4.0000000,3.1415927
-1.1200000,4.0000000,3.1415927
-1.2000000,4.0000000,3.1415927
-1.2800000,4.0000000,3.1415927
-1.3600000,4.0000000,3.1415927
-1.4400000,4.0000000,3.1415927
-1.5200000,4.0000000,3.1415927
-1.6000000,4.0000000,3.1415927
-1.6800000,4.0000000,3.1415927
-1.7600000,4.0000000,3.1415927
-1.8400000,4.0000000,3.1415927
-1.9200000,4.0000000,3.1415927
-2.0000000,4.0000000,3.1415927
-2.0800000,4.0000000,3.1415927
-2.1600000,4.0000000,3.1415927
-2.2400000,4.0000000,3.1415927
-2.3200000,4.0000000,3.1415927
-2.4000000,4.0000000,3.1415927
-2.4800000,4.0000000,3.1415927
-2.5600000,4.0000000,3.1415927
-2.6400000,4.0000000,3.1415927
-2.7200000,4.0000000,3.1415927
-2.8000000,4.0000000,3.1415927
-2.8800000,4.0000000,3.1415927
-2.9600000,4.0000000,3.1415927
-3.0400000,4.0000000,3.1415927
-3.1200000,4.0000000,3.1415927
-3.2000000,4.0000000,3.1415927
-3.2800000,4.0000000,3.1415927
-3.3600000,4.0000000,3.1415927
-3.4400000,4.0000000,3.1415927
-3.5200000,4.0000000,3.1415927
-3.6000000,4.0000000,3.1415927
-3.6800000,4.0000000,3.1415927
-3.7600000,4.0000000,3.1415927
-3.8400000,4.0000000,3.1415927
-3.9200000,4.0000000,3.1415927
-4.0000000,4.0000000,3.1415927
-4.0800352,3.9991992,-3.1215825
-4.1600384,3.9967972,-3.1015724
-4.2399775,3.9927949,-3.0815622
-4.3198206,3.9871939,-3.0615521
-4.3995355,3.9799964,-3.0415419
-4.4790905,3.9712054,-3.0215318
-4.5584537,3.9608243,-3.0015216
-4.6375933,3.9488574,-2.9815115
-4.7164776,3.9353094,-2.9615014
-4.7950750,3.9201857,-2.9414912
-4.8733541,3.9034924,-2.9214811
-4.9512835,3.8852361,-2.9014709
-5.0288320,3.8654243,-2.8814608
-5.1059685,3.8440647,-2.8614506
-5.1826623,3.8211660,-2.8414405
-5.2588825,3.7967374,-2.8214303
-5.3345987,3.7707886,-2.8014202
-5.4097805,3.7433299,-2.7814101
-5.4843978,3.7143725,-2.7613999
-5.5584208,3.6839279,-2.7413898
-5.6318198,3.6520082,-2.7213796
-5.7045655,3.6186263,-2.7013695
-5.7766286,3.5837956,-2.6813593
-5.8479804,3.5475299,-2.6613492
-5.9185923,3.5098438,-2.6413390
-5.9884360,3.4707524,-2.6213289
-6.0574836,3.4302713,-2.6013188
-6.1257073,3.3884168,-2.5813086
-6.1930799,3.3452056,-2.5612985
-6.2595745,3.3006550,-2.5412883
-6.3251643,3.2547828,-2.5212782
-6.3898231,3.2076074,-2.5012680
-6.4535251,3.1591478,-2.4812579
-6.5162447,3.1094232,-2.4612477
-6.5779568,3.0584536,-2.4412376
-6.6386367,3.0062595,-2.4212275
-6.6982602,2.9528617,-2.4012173
-6.7568032,2.8982816,-2.3812072
-6.8142425,2.8425410,-2.3611970
-6.8705549,2.7856623,-2.3411869
-6.9257181,2.7276682,-2.3211767
-6.9797097,2.6685820,-2.3011666
-7.0325083,2.6084273,-2.2811564
