left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y,Lapdist
-5.1688156,2.7629459,-5.9480260,4.6049098,-5.5584208,3.6839279,5.6007848
-5.2238649,2.7390062,-6.0397748,4.5650103,-5.6318198,3.6520082,5.6808241
-5.2784241,2.7139697,-6.1307069,4.5232829,-5.7045655,3.6186263,5.7608633
-5.3324715,2.6878467,-6.2207858,4.4797445,-5.7766286,3.5837956,5.8409026
-5.3859853,2.6606474,-6.3099756,4.4344124,-5.8479804,3.5475299,5.9209418
-5.4389443,2.6323828,-6.3982404,4.3873047,-5.9185923,3.5098438,6.0009810
-5.4913270,2.6030643,-6.4855450,4.3384405,-5.9884360,3.4707524,6.0810203
-5.5431127,2.5727035,-6.5718545,4.2878391,-6.0574836,3.4302713,6.1610595
-5.5942805,2.5413126,-6.6571342,4.2355210,-6.1257073,3.3884168,6.2410988
-5.6448100,2.5089042,-6.7413499,4.1815070,-6.1930799,3.3452056,6.3211380
-5.6946809,2.4754912,-6.8244681,4.1258187,-6.2595745,3.3006550,6.4011773
-5.7438732,2.4410871,-6.9064554,4.0684785,-6.3251643,3.2547828,6.4812165
-5.7923674,2.4057056,-6.9872789,4.0095093,-6.3898231,3.2076074,6.5612557
-5.8401438,2.3693608,-7.0669064,3.9489347,-6.4535251,3.1591478,6.6412950
-5.8871835,2.3320674,-7.1453059,3.8867790,-6.5162447,3.1094232,6.7213342
-5.9334676,2.2938402,-7.2224460,3.8230670,-6.5779568,3.0584536,6.8013735
-5.9789775,2.2546946,-7.2982959,3.7578244,-6.6386367,3.0062595,6.8814127
-6.0236951,2.2146463,-7.3728252,3.6910771,-6.6982602,2.9528617,6.9614519
-6.0676024,2.1737112,-7.4460040,3.6228519,-6.7568032,2.8982816,7.0414912
-6.1106819,2.1319057,-7.5178031,3.5531762,-6.8142425,2.8425410,7.1215304
-6.1529162,2.0892467,-7.5881937,3.4820778,-6.8705549,2.7856623,7.2015697
-6.1942885,2.0457512,-7.6571476,3.4095853,-6.9257181,2.7276682,7.2816089
-6.2347823,2.0014365,-7.7246372,3.3357275,-6.9797097,2.6685820,7.3616482
-6.2743813,1.9563205,-7.7906354,3.2605342,-7.0325083,2.6084273,7.4416874
-6.3130696,1.9104212,-7.8551160,3.1840353,-7.0840928,2.5472282,7.5217266
-6.3508318,1.8637570,-7.9180529,3.1062616,-7.1344424,2.4850093,7.6017659
-6.3876527,1.8163465,-7.9794212,3.0272442,-7.1835369,2.4217953,7.6818051
