time,ego_collision,done,x,y,theta,requested_speed,steering_angle
1779541496.213768,0,1,-0.204769,0.219199,0.033794,2.000000,-0.001466
1779541496.223783,0,1,-0.184777,0.219764,0.032770,2.000000,-0.001466
1779541496.233847,0,1,-0.164784,0.220324,0.031919,2.000000,-0.000671
1779541496.243705,0,1,-0.144791,0.220851,0.030895,2.000000,-0.000671
1779541496.253534,0,1,-0.124798,0.221373,0.030044,2.000000,0.000273
1779541496.263594,0,1,-0.104804,0.221863,0.029020,2.000000,0.000273
1779541496.273219,0,1,-0.084811,0.222373,0.028461,2.000000,0.000989
1779541496.284141,0,1,-0.064819,0.222944,0.028661,2.000000,0.001423
1779541496.293422,0,1,-0.044828,0.223540,0.029030,2.000000,0.001423
1779541496.303648,0,1,-0.024838,0.224182,0.029769,2.000000,0.002161
1779541496.313206,0,1,-0.004849,0.224838,0.030451,2.000000,0.002161
1779541496.323970,0,1,0.015139,0.225534,0.031374,2.000000,0.002717
1779541496.333540,0,1,0.035127,0.226239,0.032164,2.000000,0.002717
1779541496.343618,0,1,0.055113,0.226981,0.033150,2.000000,0.000978
1779541496.353725,0,1,0.075099,0.227730,0.033979,2.000000,0.000978
1779541496.363527,0,1,0.095083,0.228514,0.034988,2.000000,0.000978
1779541496.373526,0,1,0.115068,0.229304,0.035830,2.000000,0.000978
1779541496.383248,0,1,0.135051,0.230127,0.036847,2.000000,0.000978
1779541496.393594,0,1,0.155034,0.230957,0.037695,2.000000,0.000978
1779541496.403765,0,1,0.175015,0.231819,0.038715,2.000000,0.000978
1779541496.413684,0,1,0.194996,0.232687,0.039565,2.000000,0.000978
1779541496.423659,0,1,0.214976,0.233588,0.040587,2.000000,0.000978
1779541496.433974,0,1,0.234955,0.234494,0.041437,2.000000,0.000978
1779541496.443611,0,1,0.254933,0.235433,0.042460,2.000000,0.000978
1779541496.453659,0,1,0.274911,0.236377,0.043311,2.000000,0.000978
1779541496.463552,0,1,0.294887,0.237353,0.044334,2.000000,-0.019419
1779541496.473558,0,1,0.314863,0.238335,0.045185,2.000000,-0.019419
1779541496.483234,0,1,0.334837,0.239349,0.046209,2.000000,-0.023311
1779541496.493181,0,1,0.354813,0.240343,0.046768,2.000000,-0.023311
1779541496.503387,0,1,0.374791,0.241276,0.046568,2.000000,-0.027336
1779541496.513509,0,1,0.394770,0.242184,0.046199,2.000000,-0.029527
1779541496.523331,0,1,0.414752,0.243047,0.045460,2.000000,-0.029527
1779541496.533200,0,1,0.434734,0.243894,0.044777,2.000000,-0.033747
1779541496.543830,0,1,0.454717,0.244703,0.043855,2.000000,-0.033747
1779541496.553196,0,1,0.474701,0.245502,0.043064,2.000000,-0.036553
1779541496.564041,0,1,0.494688,0.246239,0.041786,2.000000,-0.036553
1779541496.573619,0,1,0.514677,0.246875,0.039734,2.000000,-0.037759
1779541496.583554,0,1,0.534669,0.247447,0.037505,2.000000,-0.037759
1779541496.593693,0,1,0.554663,0.247935,0.034901,2.000000,-0.038508
1779541496.603514,0,1,0.574659,0.248368,0.032349,2.000000,-0.038508
1779541496.613542,0,1,0.594655,0.248725,0.029556,2.000000,-0.038726
1779541496.623701,0,1,0.614653,0.249033,0.026893,2.000000,-0.037936
1779541496.633693,0,1,0.634652,0.249268,0.024034,2.000000,-0.037936
1779541496.643233,0,1,0.654651,0.249457,0.021332,2.000000,-0.034982
1779541496.653696,0,1,0.674650,0.249573,0.018449,2.000000,-0.034982
1779541496.663291,0,1,0.694650,0.249646,0.015733,2.000000,-0.031561
1779541496.673406,0,1,0.714650,0.249647,0.012841,2.000000,-0.031561
1779541496.683981,0,1,0.734650,0.249630,0.010412,2.000000,-0.027555
1779541496.693286,0,1,0.754650,0.249636,0.008740,2.000000,-0.027555
1779541496.703496,0,1,0.774650,0.249629,0.007235,2.000000,-0.025664
1779541496.713425,0,1,0.794650,0.249630,0.006101,2.000000,-0.021310
1779541496.723460,0,1,0.814650,0.249607,0.004910,2.000000,-0.021310
1779541496.733186,0,1,0.834650,0.249586,0.003958,2.000000,-0.017095
1779541496.743722,0,1,0.854650,0.249537,0.002874,2.000000,-0.017095
1779541496.753519,0,1,0.874650,0.249487,0.001986,2.000000,-0.015050
1779541496.763530,0,1,0.894650,0.249407,0.000939,2.000000,-0.015050
1779541496.773386,0,1,0.914650,0.249324,0.000074,2.000000,-0.013711
1779541496.783367,0,1,0.934649,0.249209,6.282226,2.000000,-0.012644
1779541496.793321,0,1,0.954649,0.249091,6.281369,2.000000,-0.012644
1779541496.803796,0,1,0.974648,0.248941,6.280341,2.000000,-0.012317
1779541496.813222,0,1,0.994648,0.248786,6.279487,2.000000,-0.012317
1779541496.823807,0,1,1.014647,0.248600,6.278462,2.000000,-0.011284
1779541496.833354,0,1,1.034646,0.248409,6.277609,2.000000,-0.011284
1779541496.843912,0,1,1.054645,0.248185,6.276585,2.000000,-0.011284
1779541496.853401,0,1,1.074644,0.247957,6.275733,2.000000,-0.009679
1779541496.863364,0,1,1.094642,0.247696,6.274709,2.000000,-0.009679
1779541496.873608,0,1,1.114640,0.247431,6.273857,2.000000,-0.009679
1779541496.883818,0,1,1.134638,0.247133,6.272833,2.000000,-0.009679
1779541496.893780,0,1,1.154636,0.246830,6.271982,2.000000,-0.009679
1779541496.903430,0,1,1.174633,0.246495,6.270958,2.000000,-0.009679
1779541496.913390,0,1,1.194630,0.246155,6.270106,2.000000,-0.009679
1779541496.923388,0,1,1.214626,0.245782,6.269083,2.000000,-0.009679
1779541496.933628,0,1,1.234623,0.245404,6.268231,2.000000,-0.009679
1779541496.943850,0,1,1.254619,0.244994,6.267208,2.000000,-0.009679
1779541496.953820,0,1,1.274614,0.244579,6.266356,2.000000,-0.009679
1779541496.963752,0,1,1.294609,0.244131,6.265333,2.000000,-0.009679
1779541496.973415,0,1,1.314604,0.243679,6.264481,2.000000,-0.009679
1779541496.983890,0,1,1.334598,0.243194,6.263458,2.000000,-0.009679
1779541496.993409,0,1,1.354592,0.242704,6.262606,2.000000,-0.009679
1779541497.003794,0,1,1.374585,0.242181,6.261583,2.000000,-0.009679
1779541497.013664,0,1,1.394578,0.241653,6.260731,2.000000,-0.009679
1779541497.024216,0,1,1.414571,0.241093,6.259708,2.000000,-0.009679
1779541497.033532,0,1,1.434563,0.240528,6.258856,2.000000,-0.000238
1779541497.043838,0,1,1.454554,0.239931,6.257833,2.000000,-0.000238
1779541497.053558,0,1,1.474545,0.239328,6.256982,2.000000,-0.000238
1779541497.063442,0,1,1.494534,0.238693,6.255958,2.000000,0.002623
1779541497.073676,0,1,1.514524,0.238053,6.255107,2.000000,0.002623
1779541497.083700,0,1,1.534513,0.237381,6.254083,2.000000,0.002623
1779541497.093742,0,1,1.554502,0.236729,6.253524,2.000000,0.004863
1779541497.103697,0,1,1.574494,0.236137,6.253724,2.000000,0.004863
1779541497.113650,0,1,1.594486,0.235571,6.254093,2.000000,0.004863
1779541497.123322,0,1,1.614479,0.235050,6.254831,2.000000,0.006319
1779541497.133765,0,1,1.634472,0.234544,6.255514,2.000000,0.006319
1779541497.144052,0,1,1.654467,0.234078,6.256437,2.000000,0.008213
1779541497.153394,0,1,1.674462,0.233621,6.257227,2.000000,0.008213
1779541497.163596,0,1,1.694457,0.233200,6.258213,2.000000,0.008213
1779541497.173617,0,1,1.714453,0.232787,6.259041,2.000000,0.006233
1779541497.183433,0,1,1.734449,0.232409,6.260050,2.000000,0.006233
1779541497.193771,0,1,1.754446,0.232036,6.260892,2.000000,0.006233
1779541497.203984,0,1,1.774443,0.231698,6.261910,2.000000,0.002909
1779541497.213818,0,1,1.794440,0.231365,6.262757,2.000000,0.002909
1779541497.223670,0,1,1.814438,0.231065,6.263778,2.000000,0.002909
1779541497.233568,0,1,1.834436,0.230771,6.264628,2.000000,-0.001127
1779541497.243278,0,1,1.854434,0.230510,6.265650,2.000000,-0.001127
1779541497.253333,0,1,1.874432,0.230229,6.266208,2.000000,-0.001127
1779541497.263417,0,1,1.894429,0.229887,6.266007,2.000000,-0.003899
1779541497.273310,0,1,1.914426,0.229520,6.265638,2.000000,-0.003899
1779541497.283250,0,1,1.934422,0.229107,6.264899,2.000000,-0.008257
1779541497.293874,0,1,1.954417,0.228680,6.264216,2.000000,-0.008257
1779541497.303463,0,1,1.974412,0.228214,6.263293,2.000000,-0.008257
1779541497.313536,0,1,1.994406,0.227738,6.262503,2.000000,-0.011445
1779541497.323379,0,1,2.014399,0.227226,6.261516,2.000000,-0.011445
1779541497.333654,0,1,2.034393,0.226706,6.260688,2.000000,-0.011445
1779541497.343952,0,1,2.054385,0.226152,6.259679,2.000000,-0.011431
1779541497.353636,0,1,2.074377,0.225591,6.258837,2.000000,-0.011431
1779541497.364281,0,1,2.094368,0.224997,6.257819,2.000000,-0.011431
1779541497.373508,0,1,2.114359,0.224397,6.256972,2.000000,-0.011431
1779541497.383464,0,1,2.134349,0.223764,6.255951,2.000000,-0.011431
1779541497.394198,0,1,2.154339,0.223125,6.255102,2.000000,-0.011431
1779541497.404127,0,1,2.174328,0.222454,6.254080,2.000000,-0.011431
1779541497.413404,0,1,2.194316,0.221777,6.253229,2.000000,-0.011431
1779541497.423671,0,1,2.214304,0.221068,6.252206,2.000000,-0.011431
