time,ego_collision,done,x,y,theta,requested_speed,steering_angle
1779541651.045085,0,1,-0.223097,0.233982,0.035779,2.500000,-0.045962
1779541651.055198,0,1,-0.198105,0.234606,0.032009,2.500000,-0.045962
1779541651.065249,0,1,-0.173110,0.235133,0.028212,2.500000,-0.032917
1779541651.075341,0,1,-0.148114,0.235588,0.024680,2.500000,-0.032917
1779541651.084819,0,1,-0.123117,0.235944,0.021036,2.500000,-0.020400
1779541651.095146,0,1,-0.098118,0.236226,0.017602,2.500000,-0.020400
1779541651.104805,0,1,-0.073119,0.236409,0.014022,2.500000,-0.020400
1779541651.114825,0,1,-0.048120,0.236544,0.010931,2.500000,-0.006087
1779541651.125046,0,1,-0.023120,0.236675,0.008675,2.500000,-0.006087
1779541651.134600,0,1,0.001880,0.236769,0.006677,2.500000,0.002813
1779541651.145151,0,1,0.026880,0.236848,0.005125,2.500000,0.002813
1779541651.154647,0,1,0.051880,0.236884,0.003580,2.500000,0.002813
1779541651.165454,0,1,0.076880,0.236929,0.002621,2.500000,0.011685
1779541651.174655,0,1,0.101880,0.237026,0.002561,2.500000,0.011685
1779541651.184944,0,1,0.126879,0.237141,0.002798,2.500000,0.020119
1779541651.194674,0,1,0.151879,0.237297,0.003507,2.500000,0.020119
1779541651.204848,0,1,0.176878,0.237467,0.004239,2.500000,0.020119
1779541651.215283,0,1,0.201877,0.237675,0.005265,2.500000,0.024032
1779541651.225340,0,1,0.226876,0.237895,0.006199,2.500000,0.024032
1779541651.235072,0,1,0.251875,0.238155,0.007354,2.500000,0.024032
1779541651.245219,0,1,0.276874,0.238426,0.008370,2.500000,0.024032
1779541651.254731,0,1,0.301872,0.238737,0.009576,2.500000,0.024032
1779541651.265118,0,1,0.326870,0.239062,0.010625,2.500000,0.024032
1779541651.274646,0,1,0.351867,0.239426,0.011851,2.500000,0.024032
1779541651.284647,0,1,0.376864,0.239805,0.012912,2.500000,0.024032
1779541651.295154,0,1,0.401860,0.240224,0.014145,2.500000,0.024032
1779541651.305026,0,1,0.426857,0.240658,0.015210,2.500000,0.024032
1779541651.315129,0,1,0.451852,0.241133,0.016446,2.500000,0.024032
1779541651.325034,0,1,0.476847,0.241623,0.017512,2.500000,0.024032
1779541651.335309,0,1,0.501842,0.242154,0.018749,2.500000,0.024032
1779541651.344665,0,1,0.526836,0.242701,0.019815,2.500000,0.024032
1779541651.354629,0,1,0.551829,0.243289,0.021052,2.500000,0.024032
1779541651.365082,0,1,0.576822,0.243892,0.022118,2.500000,0.024032
1779541651.374923,0,1,0.601813,0.244537,0.023355,2.500000,0.024032
1779541651.385027,0,1,0.626804,0.245198,0.024421,2.500000,-0.012530
1779541651.395034,0,1,0.651795,0.245900,0.025657,2.500000,-0.012530
1779541651.404672,0,1,0.676785,0.246592,0.026421,2.500000,-0.021291
